"id","name","symbol","rank","price_usd","price_btc","24h_volume_usd","market_cap_usd","available_supply","total_supply","max_supply","percent_change_1h","percent_change_24h","percent_change_7d","last_updated"
"bitcoin","Bitcoin","BTC","1","6821.87","1.0","5065050000.0","115689535129","16958625.0","16958625.0","21000000.0","0.39","-7.41","-12.12","1522904667"
"ethereum","Ethereum","ETH","2","380.576","0.0561427","1304870000.0","37533839189.0","98623768.0","98623768.0","null","0.24","-6.1","-11.82","1522904654"
"ripple","Ripple","XRP","3","0.497798","0.00007344","396029000.0","19461174177.0","39094520623.0","99992405149.0","100000000000","0.17","-7.73","-11.5","1522904641"
"bitcoin-cash","Bitcoin Cash","BCH","4","648.209","0.095624","272741000.0","11055958038.0","17056163.0","17056163.0","21000000.0","-0.06","-6.55","-21.26","1522904651"
"litecoin","Litecoin","LTC","5","118.917","0.0175427","386229000.0","6652489761.0","55942294.0","55942294.0","84000000.0","0.18","-8.29","-6.18","1522904641"
"eos","EOS","EOS","6","5.71412","0.00084295","274768000.0","4413218718.0","772335673.0","900000000.0","1000000000.0","0.22","-4.79","-6.96","1522904651"
"cardano","Cardano","ADA","7","0.154172","0.00002274","134541000.0","3997228319.0","25927070538.0","31112483745.0","45000000000.0","0.46","-9.54","-0.37","1522904655"
"stellar","Stellar","XLM","8","0.203224","0.00002998","53641400.0","3769993550.0","18550926812.0","103827633055","null","0.39","-12.0","-3.46","1522904643"
"neo","NEO","NEO","9","47.3375","0.00698324","72193900.0","3076937500.0","65000000.0","100000000.0","100000000.0","0.04","-8.34","-14.38","1522904647"
"iota","IOTA","MIOTA","10","0.974455","0.00014375","21728900.0","2708527182.0","2779530283.0","2779530283.0","2779530283.0","-0.44","-8.78","-15.54","1522904651"
"monero","Monero","XMR","11","169.583","0.0250169","39622500.0","2696360967.0","15899949.0","15899949.0","null","0.26","-8.97","-12.06","1522904644"
